Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        3     0.00     0.00  std::_Vector_base<Halide::Argument, std::allocator<Halide::Argument> >::_Vector_impl::_Vector_impl()
  0.00      0.00     0.00        3     0.00     0.00  std::_Vector_base<Halide::Argument, std::allocator<Halide::Argument> >::_Vector_base()
  0.00      0.00     0.00        3     0.00     0.00  std::allocator_traits<std::allocator<Halide::Var> >::deallocate(std::allocator<Halide::Var>&, Halide::Var*, unsigned long)
  0.00      0.00     0.00        3     0.00     0.00  std::allocator_traits<std::allocator<Halide::Var> >::allocate(std::allocator<Halide::Var>&, unsigned long)
  0.00      0.00     0.00        3     0.00     0.00  std::vector<Halide::Var, std::allocator<Halide::Var> >::~vector()
  0.00      0.00     0.00        2     0.00     0.00  void Halide::Buffer<int>::assert_can_convert_from<int>(Halide::Buffer<int> const&)
  0.00      0.00     0.00        2     0.00     0.00  Halide::Buffer<int>::Buffer<int>(Halide::Buffer<int>&&)
  0.00      0.00     0.00        2     0.00     0.00  bool Halide::Runtime::Buffer<int, 4>::can_convert_from<int, 4>(Halide::Runtime::Buffer<int, 4> const&)
  0.00      0.00     0.00        2     0.00     0.00  void Halide::Runtime::Buffer<int, 4>::assert_can_convert_from<int, 4>(Halide::Runtime::Buffer<int, 4> const&)
  0.00      0.00     0.00        2     0.00     0.00  void Halide::Runtime::Buffer<int, 4>::static_assert_can_convert_from<void, 4>()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<Halide::Buffer<void> >::deallocate(Halide::Buffer<void>*, unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<Halide::Var const*, std::vector<Halide::Var, std::allocator<Halide::Var> > >::__normal_iterator(Halide::Var const* const&)
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<Halide::Var const*, std::vector<Halide::Var, std::allocator<Halide::Var> > >::operator++()
  0.00      0.00     0.00        2     0.00     0.00  Halide::Var::operator Halide::Expr() const
  0.00      0.00     0.00        2     0.00     0.00  Halide::Buffer<int>::get() const
  0.00      0.00     0.00        2     0.00     0.00  Halide::Buffer<int>::defined() const
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<Halide::Var const*, std::vector<Halide::Var, std::allocator<Halide::Var> > >::operator*() const
  0.00      0.00     0.00        2     0.00     0.00  std::initializer_list<Halide::Var>::begin() const
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<Halide::Var, std::allocator<Halide::Var> >::_M_create_storage(unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<Halide::Buffer<void> > >::deallocate(std::allocator<Halide::Buffer<void> >&, Halide::Buffer<void>*, unsigned long)
  0.00      0.00     0.00        2     0.00     0.00  Halide::Buffer<void>* std::__addressof<Halide::Buffer<void> >(Halide::Buffer<void>&)
  0.00      0.00     0.00        2     0.00     0.00  Halide::Var& std::forward<Halide::Var&>(std::remove_reference<Halide::Var&>::type&)
  0.00      0.00     0.00        2     0.00     0.00  void std::_Destroy<Halide::Buffer<void> >(Halide::Buffer<void>*)
  0.00      0.00     0.00        1     0.00     0.00  _GLOBAL__sub_I_main
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  HalideIntrospectionCanary::(anonymous namespace)::TestCompilationUnit::TestCompilationUnit()
  0.00      0.00     0.00        1     0.00     0.00  Halide::Realization::~Realization()
  0.00      0.00     0.00        1     0.00     0.00  Halide::Func::~Func()
  0.00      0.00     0.00        1     0.00     0.00  Halide::Stage::~Stage()
  0.00      0.00     0.00        1     0.00     0.00  void Halide::Buffer<int>::assert_can_convert_from<void>(Halide::Buffer<void> const&)
  0.00      0.00     0.00        1     0.00     0.00  Halide::Buffer<int>::Buffer<void>(Halide::Buffer<void> const&)
  0.00      0.00     0.00        1     0.00     0.00  Halide::Target::Target()
  0.00      0.00     0.00        1     0.00     0.00  Halide::FuncRef::~FuncRef()
  0.00      0.00     0.00        1     0.00     0.00  bool Halide::Runtime::Buffer<int, 4>::can_convert_from<void, 4>(Halide::Runtime::Buffer<void, 4> const&)
  0.00      0.00     0.00        1     0.00     0.00  Halide::Runtime::Buffer<int, 4>::static_halide_type()
  0.00      0.00     0.00        1     0.00     0.00  void Halide::Runtime::Buffer<int, 4>::assert_can_convert_from<void, 4>(Halide::Runtime::Buffer<void, 4> const&)
  0.00      0.00     0.00        1     0.00     0.00  Halide::Internal::Definition::~Definition()
  0.00      0.00     0.00        1     0.00     0.00  Halide::Internal::IntrusivePtr<Halide::Internal::BufferContents>::incref(Halide::Internal::BufferContents*)
  0.00      0.00     0.00        1     0.00     0.00  Halide::ParamMap::empty_map()
  0.00      0.00     0.00        1     0.00     0.00  Halide::ParamMap::ParamMap()
  0.00      0.00     0.00        1     0.00     0.00  Halide::operator+(Halide::Expr, Halide::Expr)
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<Halide::Internal::Parameter const, Halide::ParamMap::ParamArg> > >::new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<Halide::Internal::Parameter const, Halide::ParamMap::ParamArg> > >::~new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<Halide::Var> >::_S_select_on_copy(std::allocator<Halide::Var> const&)
  0.00      0.00     0.00        1     0.00     0.00  _ZNK6Halide11RealizationcvNS_6BufferIT_EEIiEEv
  0.00      0.00     0.00        1     0.00     0.00  std::enable_if<Halide::Internal::all_are_convertible<Halide::Var<Halide::Var&, Halide::Var&> >::value, Halide::FuncRef>::type Halide::Func::operator()<Halide::Var&, Halide::Var&>(Halide::Var&, Halide::Var&) const
  0.00      0.00     0.00        1     0.00     0.00  Halide::Buffer<void>::get() const
  0.00      0.00     0.00        1     0.00     0.00  Halide::Runtime::Buffer<void, 4>::type() const
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<Halide::Var, std::allocator<Halide::Var> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00        1     0.00     0.00  std::initializer_list<Halide::Var>::end() const
  0.00      0.00     0.00        1     0.00     0.00  std::initializer_list<Halide::Var>::size() const
  0.00      0.00     0.00        1     0.00     0.00  std::vector<Halide::Var, std::allocator<Halide::Var> >::end() const
  0.00      0.00     0.00        1     0.00     0.00  std::vector<Halide::Var, std::allocator<Halide::Var> >::size() const
  0.00      0.00     0.00        1     0.00     0.00  std::vector<Halide::Var, std::allocator<Halide::Var> >::begin() const
  0.00      0.00     0.00        1     0.00     0.00  std::vector<Halide::Buffer<void>, std::allocator<Halide::Buffer<void> > >::operator[](unsigned long) const
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<Halide::Var>::allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<Halide::Internal::Parameter const, Halide::ParamMap::ParamArg> > >::allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<Halide::Internal::Parameter const, Halide::ParamMap::ParamArg> > >::~allocator()
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<Halide::Var, std::allocator<Halide::Var> >::_Vector_base(unsigned long, std::allocator<Halide::Var> const&)
  0.00      0.00     0.00        1     0.00     0.00  std::_Vector_base<Halide::Var, std::allocator<Halide::Var> >::_Vector_base(std::allocator<Halide::Var> const&)
  0.00      0.00     0.00        1     0.00     0.00  std::allocator_traits<std::allocator<Halide::Var> >::select_on_container_copy_construction(std::allocator<Halide::Var> const&)
